time(seconds),hFieldAvg,iFieldAvg,qFieldAvg,qcFieldAvg
0,00,9.999983333332166,9.999983333332166,8.494330620324094E-12,8.494330620324094E-12
0,01,9.999966666695238,9.999966666695238,4.246995606313006E-11,4.246995606313006E-11
0,02,9.999950000084644,9.999950000084644,1.1892651036874234E-10,1.1892651036874234E-10
0,03,9.999933333499941,9.999933333499941,2.5485260096348303E-10,2.5485260096348303E-10
0,04,9.999916666944065,9.999916666944065,4.672283586009773E-10,4.672283586009773E-10
0,05,9.999900000417195,9.999900000417195,7.730143540561304E-10,7.730143540561304E-10
0,06,9.999883333918447,9.999883333918447,1.1891018254776713E-9,1.1891018254776713E-9
0,07,9.999866667446291,9.999866667446291,1.7325593663236908E-9,1.7325593663236908E-9
0,08,9.999850000998089,9.999850000998089,2.4201142213916156E-9,2.4201142213916156E-9
0,09,9.999833334585409,9.999833334585409,3.2686367381447075E-9,3.2686367381447075E-9
0,10,9.999816668194338,9.999816668194338,4.295141436587448E-9,4.295141436587448E-9
0,11,9.999800001834725,9.999800001834725,5.516268869514906E-9,5.516268869514906E-9
0,12,9.999783335500753,9.999783335500753,6.94929358133924E-9,6.94929358133924E-9
0,13,9.999766669193365,9.999766669193365,8.611539558565033E-9,8.611539558565033E-9
0,14,9.999750002914253,9.999750002914253,1.0519168344466674E-8,1.0519168344466674E-8
0,15,9.999733336666347,9.999733336666347,1.2687931764960908E-8,1.2687931764960908E-8
0,16,9.99971667044268,9.99971667044268,1.513727582916939E-8,1.513727582916939E-8
0,17,9.999700004249519,9.999700004249519,1.788319303042129E-8,1.788319303042129E-8
0,18,9.999683338085296,9.999683338085296,2.094265927419887E-8,2.094265927419887E-8
0,19,9.999666671942574,9.999666671942574,2.4333061554701307E-8,2.4333061554701307E-8
0,20,9.999650005833248,9.999650005833248,2.8071257666008324E-8,2.8071257666008324E-8
0,21,9.999633339747763,9.999633339747763,3.217297759250836E-8,3.217297759250836E-8
0,22,9.99961667369553,9.99961667369553,3.66518764949858E-8,3.66518764949858E-8
0,23,9.999600007665322,9.999600007665322,4.1529167059834974E-8,4.1529167059834974E-8
0,24,9.999583341665348,9.999583341665348,4.682182496554843E-8,4.682182496554843E-8
0,25,9.999566675692382,9.999566675692382,5.2544184130731306E-8,5.2544184130731306E-8
0,26,9.999550009747711,9.999550009747711,5.871440872814329E-8,5.871440872814329E-8
0,27,9.999533343831839,9.999533343831839,6.535205620314659E-8,6.535205620314659E-8
0,28,9.999516677942033,9.999516677942033,7.247335599376057E-8,7.247335599376057E-8
0,29,9.999500012083429,9.999500012083429,8.008955538961149E-8,8.008955538961149E-8
0,30,9.999483346251273,9.999483346251273,8.822375846124736E-8,8.822375846124736E-8
0,31,9.99946668044252,9.99946668044252,9.689505979639088E-8,9.689505979639088E-8
0,32,9.999450014667493,9.999450014667493,1.0610654124975803E-7,1.0610654124975803E-7
0,33,9.999433348915833,9.999433348915833,1.1588396864951156E-7,1.1588396864951156E-7
0,34,9.999416683193152,9.999416683193152,1.26246250782612E-7,1.26246250782612E-7
0,35,9.99940001750181,9.99940001750181,1.3719969121821477E-7,1.3719969121821477E-7
0,36,9.999383351834458,9.999383351834458,1.4877065100383924E-7,1.4877065100383924E-7
0,37,9.99936668619535,9.99936668619535,1.6097920929489944E-7,1.6097920929489944E-7
0,38,9.999350020584647,9.999350020584647,1.7383043612463442E-7,1.7383043612463442E-7
0,39,9.99933335499821,9.99933335499821,1.8735304931951657E-7,1.8735304931951657E-7
0,40,9.99931668944281,9.99931668944281,2.015464211470005E-7,2.015464211470005E-7
0,41,9.99930002391807,9.99930002391807,2.1645116793526806E-7,2.1645116793526806E-7
0,42,9.999283358414905,9.999283358414905,2.32073643483513E-7,2.32073643483513E-7
0,43,9.999266692945579,9.999266692945579,2.4844452740661656E-7,2.4844452740661656E-7
0,44,9.999250027497718,9.999250027497718,2.655612491132305E-7,2.655612491132305E-7
0,45,9.999233362080506,9.999233362080506,2.83455632292374E-7,2.83455632292374E-7
0,46,9.999216696694752,9.999216696694752,3.021256140942554E-7,3.021256140942554E-7
0,47,9.999200031334752,9.999200031334752,3.2159907593351644E-7,3.2159907593351644E-7
0,48,9.999183366001224,9.999183366001224,3.418724200890463E-7,3.418724200890463E-7
0,49,9.99916670069432,9.99916670069432,3.629769948206663E-7,3.629769948206663E-7
0,50,9.999150035417891,9.999150035417891,3.849382802981201E-7,3.849382802981201E-7
0,51,9.99913337016545,9.99913337016545,4.0776390286411894E-7,4.0776390286411894E-7
0,52,9.999116704944473,9.999116704944473,4.31485233682973E-7,4.31485233682973E-7
0,53,9.999100039746898,9.999100039746898,4.5610235950750074E-7,4.5610235950750074E-7
0,54,9.99908337458304,9.99908337458304,4.816360764405721E-7,4.816360764405721E-7
0,55,9.999066709442557,9.999066709442557,5.080797124169895E-7,5.080797124169895E-7
0,56,9.999050044333677,9.999050044333677,5.354608887240792E-7,5.354608887240792E-7
0,57,9.99903337925088,9.99903337925088,5.638370683052233E-7,5.638370683052233E-7
0,58,9.999016714194113,9.999016714194113,5.93208065615064E-7,5.93208065615064E-7
0,59,9.999000049166181,9.999000049166181,6.235835940643208E-7,6.235835940643208E-7
0,60,9.998983384167067,9.998983384167067,6.549832310945111E-7,6.549832310945111E-7
0,61,9.99896671919402,9.99896671919402,6.874058598060993E-7,6.874058598060993E-7
0,62,9.998950054247137,9.998950054247137,7.208663921784429E-7,7.208663921784429E-7
0,63,9.998933389331777,9.998933389331777,7.55399154187733E-7,7.55399154187733E-7
0,64,9.99891672444462,9.99891672444462,7.910210142659902E-7,7.910210142659902E-7
0,65,9.998900059581485,9.998900059581485,8.277682021093415E-7,8.277682021093415E-7
0,66,9.99888339474659,9.99888339474659,8.656272102388412E-7,8.656272102388412E-7
0,67,9.99886672994315,9.99886672994315,9.046308890452763E-7,9.046308890452763E-7
0,68,9.998850065165943,9.998850065165943,9.447771095510243E-7,9.447771095510243E-7
0,69,9.998833400415322,9.998833400415322,9.860658776014372E-7,9.860658776014372E-7
0,70,9.998816735692973,9.998816735692973,1.02854029748083E-6,1.02854029748083E-6
0,71,9.998800070998886,9.998800070998886,1.072226255679557E-6,1.072226255679557E-6
0,72,9.998783406331986,9.998783406331986,1.1171436961472293E-6,1.1171436961472293E-6
0,73,9.998766741690128,9.998766741690128,1.1632481444991858E-6,1.1632481444991858E-6
0,74,9.998750077080327,9.998750077080327,1.2106174927259223E-6,1.2106174927259223E-6
0,75,9.998733412498785,9.998733412498785,1.259224769524482E-6,1.259224769524482E-6
0,76,9.998716747941213,9.998716747941213,1.3091431130529481E-6,1.3091431130529481E-6
0,77,9.998700083411897,9.998700083411897,1.360347427102542E-6,1.360347427102542E-6
0,78,9.998683418914046,9.998683418914046,1.4128140079521908E-6,1.4128140079521908E-6
0,79,9.998666754442425,9.998666754442425,1.466673002935589E-6,1.466673002935589E-6
0,80,9.998650089997389,9.998650089997389,1.521869003832399E-6,1.521869003832399E-6
0,81,9.998633425580625,9.998633425580625,1.5783935943024306E-6,1.5783935943024306E-6
0,82,9.998616761192126,9.998616761192126,1.6362475634541712E-6,1.6362475634541712E-6
0,83,9.99860009683022,9.99860009683022,1.6955556098810914E-6,1.6955556098810914E-6
0,84,9.998583432494508,9.998583432494508,1.7562797647594475E-6,1.7562797647594475E-6
0,85,9.998566768190297,9.998566768190297,1.8183711617528083E-6,1.8183711617528083E-6
0,86,9.99855010390933,9.99855010390933,1.881878275825331E-6,1.881878275825331E-6
0,87,9.99853343966235,9.99853343966235,1.946805632558242E-6,1.946805632558242E-6
0,88,9.998516775438484,9.998516775438484,2.013280238629141E-6,2.013280238629141E-6
0,89,9.998500111246361,9.998500111246361,2.0812148013929927E-6,2.0812148013929927E-6
0,90,9.998483447077945,9.998483447077945,2.1507116632549498E-6,2.1507116632549498E-6
0,91,9.998466782940282,9.998466782940282,2.2217298557647363E-6,2.2217298557647363E-6
0,92,9.99845011882896,9.99845011882896,2.294308259888343E-6,2.294308259888343E-6
0,93,9.998433454744374,9.998433454744374,2.36846871375733E-6,2.36846871375733E-6
0,94,9.998416790690293,9.998416790690293,2.4441648448904084E-6,2.4441648448904084E-6
0,95,9.998400126657813,9.998400126657813,2.5214829705513623E-6,2.5214829705513623E-6
0,96,9.998383462660978,9.998383462660978,2.6003727511198963E-6,2.6003727511198963E-6
0,97,9.998366798686158,9.998366798686158,2.6808632034355093E-6,2.6808632034355093E-6
0,98,9.99835013474417,9.99835013474417,2.7631273115209997E-6,2.7631273115209997E-6
0,99,9.998333470824097,9.998333470824097,2.8470574650415516E-6,2.8470574650415516E-6
1,00,9.99831680693493,9.99831680693493,2.9326705958641782E-6,2.9326705958641782E-6
1,01,9.998300143076522,9.998300143076522,3.0199938429396384E-6,3.0199938429396384E-6
1,02,9.99828347924266,9.99828347924266,3.108967448799883E-6,3.108967448799883E-6
1,03,9.998266815436926,9.998266815436926,3.1997752459078446E-6,3.1997752459078446E-6
1,04,9.998250151659708,9.998250151659708,3.292353813182668E-6,3.292353813182668E-6
1,05,9.9982334879062,9.9982334879062,3.3866919492565413E-6,3.3866919492565413E-6
1,06,9.998216824184293,9.998216824184293,3.4827966442239776E-6,3.4827966442239776E-6
1,07,9.998200160491242,9.998200160491242,3.580565954470984E-6,3.580565954470984E-6
1,08,9.998183496821452,9.998183496821452,3.6802219624350566E-6,3.6802219624350566E-6
1,09,9.9981668331855,9.9981668331855,3.7815161302719433E-6,3.7815161302719433E-6
1,10,9.998150169572913,9.998150169572913,3.884635492056589E-6,3.884635492056589E-6
1,11,9.998133505989188,9.998133505989188,3.989581930515522E-6,3.989581930515522E-6
1,12,9.99811684243195,9.99811684243195,4.096451368050341E-6,4.096451368050341E-6
1,13,9.99810017890308,9.99810017890308,4.205268243314402E-6,4.205268243314402E-6
1,14,9.998083515403072,9.998083515403072,4.316028868234115E-6,4.316028868234115E-6
1,15,9.998066851931304,9.998066851931304,4.4286608214514835E-6,4.4286608214514835E-6
1,16,9.9980501884866,9.9980501884866,4.543295189187184E-6,4.543295189187184E-6
1,17,9.99803352507207,9.99803352507207,4.65989371357788E-6,4.65989371357788E-6
1,18,9.998016861679593,9.998016861679593,4.778288996169664E-6,4.778288996169664E-6
1,19,9.998000198320367,9.998000198320367,4.898727237899321E-6,4.898727237899321E-6
1,20,9.997983534984991,9.997983534984991,5.021173065150206E-6,5.021173065150206E-6
1,21,9.997966871682998,9.997966871682998,5.145759559743742E-6,5.145759559743742E-6
1,22,9.997950208402475,9.997950208402475,5.2722963879625784E-6,5.2722963879625784E-6
1,23,9.997933545150817,9.997933545150817,5.400967698015905E-6,5.400967698015905E-6
1,24,9.997916881927537,9.997916881927537,5.531777435528207E-6,5.531777435528207E-6
1,25,9.997900218733088,9.997900218733088,5.6647760270820766E-6,5.6647760270820766E-6
1,26,9.997883555566897,9.997883555566897,5.7995807129581415E-6,5.7995807129581415E-6
1,27,9.99786689242957,9.99786689242957,5.936381422507214E-6,5.936381422507214E-6
1,28,9.997850229318832,9.997850229318832,6.07548268462027E-6,6.07548268462027E-6
1,29,9.997833566231805,9.997833566231805,6.2166592705875656E-6,6.2166592705875656E-6
1,30,9.997816903178306,9.997816903178306,6.359992197540681E-6,6.359992197540681E-6
1,31,9.997800240147921,9.997800240147921,6.505632437525747E-6,6.505632437525747E-6
1,32,9.997783577147098,9.997783577147098,6.653333587511907E-6,6.653333587511907E-6
1,33,9.997766914177028,9.997766914177028,6.803355220601672E-6,6.803355220601672E-6
1,34,9.997750251232858,9.997750251232858,6.9555615950272E-6,6.9555615950272E-6
1,35,9.997733588315612,9.997733588315612,7.10981333887732E-6,7.10981333887732E-6
1,36,9.997716925426177,9.997716925426177,7.266132935916543E-6,7.266132935916543E-6
1,37,9.997700262563786,9.997700262563786,7.424925098187525E-6,7.424925098187525E-6
1,38,9.99768359973201,9.99768359973201,7.5861824206402735E-6,7.5861824206402735E-6
1,39,9.997666936921854,9.997666936921854,7.749544775078835E-6,7.749544775078835E-6
1,40,9.997650274147205,9.997650274147205,7.915235457795061E-6,7.915235457795061E-6
1,41,9.997633611394136,9.997633611394136,8.083253492425537E-6,8.083253492425537E-6
1,42,9.997616948672702,9.997616948672702,8.253809943810917E-6,8.253809943810917E-6
1,43,9.99760028597673,9.99760028597673,8.426709926249596E-6,8.426709926249596E-6
1,44,9.997583623309762,9.997583623309762,8.602140124338277E-6,8.602140124338277E-6
1,45,9.997566960669241,9.997566960669241,8.779648184777269E-6,8.779648184777269E-6
1,46,9.997550298057128,9.997550298057128,8.959679035094912E-6,8.959679035094912E-6
1,47,9.9975336354737,9.9975336354737,9.142179871897482E-6,9.142179871897482E-6
1,48,9.997516972918685,9.997516972918685,9.326932068457633E-6,9.326932068457633E-6
1,49,9.997500310390253,9.997500310390253,9.514194689314692E-6,9.514194689314692E-6
1,50,9.997483647892926,9.997483647892926,9.703885701106964E-6,9.703885701106964E-6
1,51,9.997466985416615,9.997466985416615,9.896227593101786E-6,9.896227593101786E-6
1,52,9.997450322974142,9.997450322974142,1.0090960216513301E-5,1.0090960216513301E-5
1,53,9.997433660555487,9.997433660555487,1.028836500509516E-5,1.028836500509516E-5
1,54,9.99741699816787,9.99741699816787,1.048834800572187E-5,1.048834800572187E-5
1,55,9.997400335806347,9.997400335806347,1.0690710096448508E-5,1.0690710096448508E-5
1,56,9.997383673471408,9.997383673471408,1.0895553859782698E-5,1.0895553859782698E-5
1,57,9.997367011164881,9.997367011164881,1.1102957073474952E-5,1.1102957073474952E-5
1,58,9.99735034888704,9.99735034888704,1.1313024097687565E-5,1.1313024097687565E-5
1,59,9.997333686637605,9.997333686637605,1.1525676191158328E-5,1.1525676191158328E-5
1,60,9.997317024414619,9.997317024414619,1.174074479150945E-5,1.174074479150945E-5
1,61,9.997300362215624,9.997300362215624,1.1958642091684531E-5,1.1958642091684531E-5
1,62,9.997283700052261,9.997283700052261,1.217903834758029E-5,1.217903834758029E-5
1,63,9.997267037910218,9.997267037910218,1.240196731640512E-5,1.240196731640512E-5
1,64,9.997250375799922,9.997250375799922,1.2627810122506797E-5,1.2627810122506797E-5
1,65,9.99723371371511,9.99723371371511,1.2856363392804046E-5,1.2856363392804046E-5
1,66,9.997217051656932,9.997217051656932,1.3087803698152595E-5,1.3087803698152595E-5
1,67,9.997200389629366,9.997200389629366,1.332207032673609E-5,1.332207032673609E-5
1,68,9.997183727628846,9.997183727628846,1.3559432943930574E-5,1.3559432943930574E-5
1,69,9.997167065656136,9.997167065656136,1.3799500046215172E-5,1.3799500046215172E-5
1,70,9.997150403710354,9.997150403710354,1.404233545999945E-5,1.404233545999945E-5
1,71,9.997133741795476,9.997133741795476,1.4288021388382369E-5,1.4288021388382369E-5
1,72,9.997117079906346,9.997117079906346,1.4536511359885962E-5,1.4536511359885962E-5
1,73,9.997100418041615,9.997100418041615,1.4788085390236306E-5,1.4788085390236306E-5
1,74,9.997083756210309,9.997083756210309,1.504230012303921E-5,1.504230012303921E-5
1,75,9.997067094402379,9.997067094402379,1.52996247723198E-5,1.52996247723198E-5
1,76,9.997050432623162,9.997050432623162,1.555950587499733E-5,1.555950587499733E-5
1,77,9.997033770875538,9.997033770875538,1.582219623247449E-5,1.582219623247449E-5
1,78,9.997017109151772,9.997017109151772,1.6087915990211338E-5,1.6087915990211338E-5
1,79,9.997000447456234,9.997000447456234,1.6356264727150012E-5,1.6356264727150012E-5
1,80,9.99698378578956,9.99698378578956,1.662756525260658E-5,1.662756525260658E-5
1,81,9.996967124146286,9.996967124146286,1.6902044810974767E-5,1.6902044810974767E-5
