time(seconds),activatory proteins(h),repressory proteins(i),Q proteins(q),Qc proteins(qc)
0,10.000026660510393,10.000026660510393,2.65606486999953E-7,2.656072177463428E-7
30,11.305509015827035,11.305509015827035,0.08310157235384932,0.0714463601022277
60,16.17616806807585,16.17616806807585,0.4691556215561057,0.4160020939265185
90,24.312125613943355,24.312125613943355,1.2217910938811136,1.1104125703785948
120,34.99330695121737,34.99330695121737,2.350578294950868,2.1746164959055214
150,47.626816738041285,47.626816738041285,3.8546658837974275,3.6122700311171516
180,61.77625438113122,61.77625438113122,5.730437834666352,5.4215158715188725
210,77.15064263686926,77.15064263686926,7.972953911082161,7.598134078147177
240,93.54957073096784,93.54957073096784,10.536013810803288,10.101467002713223
270,110.78251096490179,110.78251096490179,11.527745179529333,11.2779681642123
300,128.6765317580142,128.6765317580142,11.703303116314034,11.604980039198384
330,147.13960637213063,147.13960637213063,11.738016663498772,11.704227082590029
360,166.06825451439312,166.06825451439312,11.744423753978493,11.734344883864793
390,185.37444586195295,185.37444586195295,11.747628778322154,11.745572677887598
420,204.98328907646254,204.98328907646254,11.747887614921167,11.748644900146662
450,224.88105835260652,224.88105835260652,11.748669477967846,11.750371765815988
480,245.25635664540664,245.25635664540664,11.750882369086929,11.752719522646162
510,265.4725628960426,265.4725628960426,11.75219727310559,11.754079115342769
540,285.4614275227261,285.4614275227261,11.752482737048666,11.754522448574951
570,305.5598526586338,305.5598526586338,11.754296702776896,11.756280881243931
600,325.5729916439536,325.5729916439536,11.75395770748966,11.756075783585331
630,345.48137562754613,345.48137562754613,11.755906745516011,11.75790820496485
660,365.4097022214609,365.4097022214609,11.756855733369171,11.758898643512993
690,385.40328341196414,385.40328341196414,11.756267651005865,11.758424334886007
720,405.4354075594932,405.4354075594932,11.758427834555782,11.760424590710276
750,425.5883251146266,425.5883251146266,11.759449376438562,11.761483877340929
780,445.9662540509667,445.9662540509667,11.758727863944744,11.760888542425466
810,466.49858036684606,466.49858036684606,11.761106197825194,11.763086557214622
840,487.25007710074567,487.25007710074567,11.762187783244958,11.764211733353985
870,508.3211054618727,508.3211054618727,11.761316635207088,11.763482630809776
900,529.7192544376551,529.7192544376551,11.763896249406818,11.76586271345602
930,552.228670551437,552.228670551437,11.752930234229447,11.75644038434464
960,574.9629460501446,574.9629460501446,11.757872546906093,11.759651191570665
990,597.6161532989064,597.6161532989064,11.764513615573888,11.765878667619486
1020,620.5972673202948,620.5972673202948,11.766106578224548,11.76788279837873
1050,643.9746158622709,643.9746158622709,11.765666345714811,11.767685338392184
1080,667.705680784946,667.705680784946,11.768397840019244,11.770291410150033
1110,691.670840150776,691.670840150776,11.769264608660082,11.771295217863189
1140,716.013158238486,716.013158238486,11.768547041940868,11.770670456837427
1170,740.8319285351338,740.8319285351338,11.771383744793145,11.773304358993089
1200,765.9543636514485,765.9543636514485,11.754907630671777,11.758691916456309
1230,791.5138927194472,791.5138927194472,11.766060968624378,11.767341047068571
1260,817.7241876131561,817.7241876131561,11.77186416032939,11.773157309271149
1290,844.5424243867474,844.5424243867474,11.772856639029545,11.77469446650389
1320,871.9686849622472,871.9686849622472,11.772765005507022,11.774746135122777
1350,900.3222818527897,900.3222818527897,11.775559609284432,11.77742783646798
1380,930.7851019861237,930.7851019861237,11.775911369039154,11.778009049453232
1410,962.1691133590882,962.1691133590882,11.775585202375632,11.777668442358944
1440,994.1376103899423,994.1376103899423,11.778428811677365,11.780328508361404
1470,1027.5191145410047,1027.5191145410047,11.778680535104048,11.780803046520873
1500,1062.4118937237047,1062.4118937237047,11.778214794334776,11.780314658849381
1530,1099.2599561850413,1099.2599561850413,11.781119885940218,11.783022413011317
1560,1137.7484967853597,1137.7484967853597,11.781268838845953,11.783407346227865
1590,1178.0558227146507,1178.0558227146507,11.780658385428879,11.782772634579853
1620,1221.02475291226,1221.02475291226,11.783619966880954,11.785525179845731
1650,1266.4047717403664,1266.4047717403664,11.783661774155792,11.785816733362847
1680,1314.223159727233,1314.223159727233,11.782902890186017,11.785032093161984
1710,1365.4123051927606,1365.4123051927606,11.785917954503235,11.787826372866538
1740,1420.1383933782536,1420.1383933782536,11.785850291526492,11.788022123530995
1770,1478.6228256073869,1478.6228256073869,11.784941269588193,11.78708573954295
1800,1541.9654188145632,1541.9654188145632,11.788008754612367,11.789920578218904
1830,1612.9810513733992,1612.9810513733992,11.787831166757533,11.790019961478931
1860,1689.8084346928056,1689.8084346928056,11.786772089274333,11.788931814562952
1890,1772.7094020997606,1772.7094020997606,11.789892638501211,11.791807754888634
1920,1864.16478413293,1864.16478413293,11.789606289362249,11.7918118393249
1950,1965.4568698007886,1965.4568698007886,11.788398766930465,11.790573454519006
