time(seconds),activatory proteins(h),repressory proteins(i),Q proteins(q),Qc proteins(qc)
0,10.000026660469032,10.000026660469032,2.656075266896475E-7,2.656075266896475E-7
30,11.303663235722057,11.303663235722057,0.06966616079284971,0.0814984760323906
60,16.171472854817647,16.171472854817647,0.4070609712363364,0.462358791215711
90,24.301294246390714,24.301294246390714,1.0910314867173259,1.2083856773618291
120,34.976617196701156,34.976617196701156,2.1434139458068744,2.330209535321009
150,47.602920977013426,47.602920977013426,3.5687559411219545,3.827286231628801
180,61.74836108515636,61.74836108515636,5.365579401368553,5.696086919127715
210,77.11934943810688,77.11934943810688,7.529828957893174,7.931704961222815
240,93.52180646148838,93.52180646148838,10.021272918211682,10.488466435648746
270,110.7528284401858,110.7528284401858,11.22763339806282,11.506733370639576
300,128.64254853027012,128.64254853027012,11.582956110634015,11.69729999023093
330,147.0847446737135,147.0847446737135,11.695213411932041,11.73625085950892
360,166.0051026562687,166.0051026562687,11.730554700420493,11.743673961038409
390,185.29978342019137,185.29978342019137,11.743767491772678,11.747099075831436
420,204.8836582693001,204.8836582693001,11.74756104230055,11.747406774996874
450,224.7715705376928,224.7715705376928,11.749556750304398,11.748204803159439
480,245.13615903326473,245.13615903326473,11.751989593803474,11.750406864905214
510,265.3490204595779,265.3490204595779,11.7533726891575,11.751712473618591
540,285.3352189899974,285.3352189899974,11.753828767801634,11.752006708281149
570,305.4205050557277,305.4205050557277,11.755601875352642,11.753825076469608
600,325.40965094000853,325.40965094000853,11.755396974719021,11.753489938921728
630,345.32093920461375,345.32093920461375,11.757230906261805,11.75543245287164
660,365.252154516355,365.252154516355,11.758232723410899,11.756391402637652
690,385.1877505744119,385.1877505744119,11.757750832787092,11.755801830415873
720,405.1807103148842,405.1807103148842,11.759747652583401,11.757952129380065
750,425.313462165651,425.313462165651,11.7608178014819,11.758984500146974
780,445.64303197966404,445.64303197966404,11.760213205368407,11.758261274344994
810,466.15110011894245,466.15110011894245,11.762407294734903,11.760628596233628
840,486.8925536003491,486.8925536003491,11.763544803253719,11.76172248834076
870,507.93312565717406,507.93312565717406,11.762805551793637,11.76084954843939
900,529.343129562809,529.343129562809,11.765181517797002,11.763417054651931
930,551.8720580568314,551.8720580568314,11.756023708190282,11.752657057114044
960,574.6005481052299,574.6005481052299,11.758935941947477,11.757303314929793
990,597.2320292968927,597.2320292968927,11.765095244219944,11.763964231067831
1020,620.197919988254,620.197919988254,11.76716578895095,11.765623536698774
1050,643.5738546167279,643.5738546167279,11.766981077029525,11.7651883822827
1080,667.2995341486256,667.2995341486256,11.76960055854974,11.767915693139017
1110,691.2597767068826,691.2597767068826,11.770626539608672,11.768802450133037
1140,715.6083452209022,715.6083452209022,11.769985609453533,11.768073928049038
1170,740.4261335476068,740.4261335476068,11.772620994697691,11.770902069931527
1200,765.5532604749724,765.5532604749724,11.758337448673556,11.754645818589065
1230,791.118414582011,791.118414582011,11.766526646470995,11.765434596373813
1260,817.329513961498,817.329513961498,11.772365526606903,11.771319137338438
1290,844.1495755218616,844.1495755218616,11.773980151578055,11.772381714960753
1320,871.5527281280275,871.5527281280275,11.774037738325127,11.772282305881093
1350,899.87593436007,899.87593436007,11.776739070744132,11.775077847842908
1380,930.3309865018939,930.3309865018939,11.77734474893144,11.7754554896459
1410,961.705858336276,961.705858336276,11.776980162856077,11.775106923266366
1440,993.6701754939047,993.6701754939047,11.779648435449648,11.777948190250969
1470,1027.0090729305857,1027.0090729305857,11.78014411312522,11.778226778735474
1500,1061.883101856559,1061.883101856559,11.779628391906126,11.777737055752475
1530,1098.735456279583,1098.735456279583,11.782344253886562,11.780639659981935
1560,1137.221165612796,1137.221165612796,11.782751423455368,11.780817148167841
1590,1177.5344159338006,1177.5344159338006,11.782087661490715,11.780181266082868
1620,1220.5304907211098,1220.5304907211098,11.784848795563919,11.783140232492721
1650,1265.9299110727632,1265.9299110727632,11.785163874357353,11.783212238356137
1680,1313.7119682394118,1313.7119682394118,11.78434851988108,11.78242646759726
1710,1364.8934854625331,1364.8934854625331,11.787151872929451,11.785438776457857
1740,1419.6531275511895,1419.6531275511895,11.787372424784312,11.785402963064094
1770,1478.0808936276903,1478.0808936276903,11.78640364400263,11.784465584354678
1800,1541.4575152632553,1541.4575152632553,11.789248020404248,11.787530161718882
1830,1612.558589512069,1612.558589512069,11.789373460997442,11.787386063398571
1860,1689.4240560951353,1689.4240560951353,11.788251215507998,11.786297148703632
1890,1772.2920234986273,1772.2920234986273,11.79113713929896,11.789414627765545
1920,1863.7945305832818,1863.7945305832818,11.791168519802836,11.78916339862288
1950,1965.072396256246,1965.072396256246,11.789894318103503,11.78792454968668
1980,2078.4369434645346,2078.4369434645346,11.792823768927342,11.791097001412105
2010,2205.113018144405,2205.113018144405,11.7927635031129,11.790741139905512
2040,2346.8508763913537,2346.8508763913537,11.791340122257738,11.789355208549843
2070,2507.3357850927805,2507.3357850927805,11.79234614066832,11.790042790942241
2100,2687.820852189809,2687.820852189809,11.789078516985457,11.786816483584008
2130,2891.0621727306893,2891.0621727306893,11.791514678748232,11.789629207976178
2160,3120.4140864276187,3120.4140864276187,11.79156136573342,11.789520131407086
2190,3376.9297227188945,3376.9297227188945,11.790596828512989,11.788815845562958
2220,3664.7133253599854,3664.7133253599854,11.792455873165064,11.79053224566781
2250,3986.9352120015906,3986.9352120015906,11.79312954767546,11.79147453346312
2280,4353.4367107128155,4353.4367107128155,11.791222729837509,11.789429957199284
2310,4753.116070771154,4753.116070771154,11.790021914927427,11.787968979179384
2340,5186.946284558095,5186.946284558095,11.789422961686679,11.787138274860295
2370,5662.105611696313,5662.105611696313,11.789743335298366,11.787516044392406
2400,6174.678132402616,6174.678132402616,11.79025635913689,11.78806761536168
2430,6728.163787170619,6728.163787170619,11.790802021901808,11.788624204478037
2460,7324.496737046309,7324.496737046309,11.793159484695105,11.791463428278833
2490,7960.537047730415,7960.537047730415,11.79594398601996,11.794442747470875
2520,8635.330314848818,8635.330314848818,11.790056174628068,11.787593583634525
2550,9347.515029819886,9347.515029819886,11.793860497410886,11.79214527431697
2580,10094.407323378462,10094.407323378462,11.79508244513001,11.793011521280055
2610,10878.138423600614,10878.138423600614,11.794591445437026,11.792960748309813
2640,11691.282915709635,11691.282915709635,11.791795099870967,11.789564873922659
2670,12537.88803463747,12537.88803463747,11.794759031543498,11.792449954659912
2700,13412.494827660517,13412.494827660517,11.796792246386405,11.795119359186451
2730,14333.243440443903,14333.243440443903,11.794917196191761,11.793184157233112
2760,15268.384371237633,15268.384371237633,11.793472052646505,11.791395899021117
2790,16218.577318332806,16218.577318332806,11.793518600451993,11.791450815631183
2820,17187.318068887802,17187.318068887802,11.793926164012928,11.791911464936295
2850,18175.299169790436,18175.299169790436,11.794408091589407,11.792415735740947
2880,19183.059897113515,19183.059897113515,11.79657076499624,11.79501349480726
2910,20209.61132733282,20209.61132733282,11.799399092717556,11.798008702369994
2940,21251.877334283763,21251.877334283763,11.791755725745077,11.789082357270482
2970,22308.504538799953,22308.504538799953,11.79488577408223,11.792864729938369
3000,23379.78417181602,23379.78417181602,11.799558345462659,11.79801814569058
3030,24463.335332538005,24463.335332538005,11.793669254370013,11.791342971429858
3060,25556.09999531861,25556.09999531861,11.799801327682701,11.798264880187016
3090,26658.238859100424,26658.238859100424,11.794218635288162,11.791914165773186
3120,27767.754318442137,27767.754318442137,11.797884740360155,11.795622323126338
3150,28884.516323575164,28884.516323575164,11.798574537264479,11.797143654451258
3180,30028.695003861743,30028.695003861743,11.795182652562762,11.792988485298036
3210,31166.49683254711,31166.49683254711,11.792758979131705,11.789918160018592
3240,32288.722705786968,32288.722705786968,11.802184024410913,11.800902524268759
3270,33397.90053372907,33397.90053372907,11.801387012300061,11.799904221215098
3300,34500.80811134728,34500.80811134728,11.800022581791334,11.798727092045029
3330,35593.4609768824,35593.4609768824,11.79405877334831,12.047869742729661
3360,36670.57233944117,36670.57233944117,11.725440097963874,15.3509601297606
3390,37732.698992840094,37732.698992840094,11.570701571936466,22.391852292600465
3420,38774.92095888523,38774.92095888523,11.345733576467579,29.17753776969233
3450,39786.10837867073,39786.10837867073,11.013380414146736,37.34417961864619
3480,40761.283497445074,40761.283497445074,10.488247977631694,52.2802464467583
3510,41697.19165100109,41697.19165100109,9.78454622477522,70.42594378100083
3540,42587.72051242013,42587.72051242013,8.94637065066038,86.38932844233594
3570,43428.06926501738,43428.06926501738,8.092227195717557,95.9722300212941
3600,44211.13259327776,44211.13259327776,7.2861987257874015,99.07616798606236
3630,44930.93955124367,44930.93955124367,6.546425740221899,99.75533406100134
3660,45567.4068163559,45567.4068163559,5.873980464278276,99.88546473915
3690,46119.854096921656,46119.854096921656,5.265103346089385,99.91069008935851
3720,46591.734295331255,46591.734295331255,4.714861870050154,99.91588796985558
3750,46987.79165517321,46987.79165517321,4.218256429097385,99.91733794559725
3780,47311.34588590207,47311.34588590207,3.770542292762138,99.91818634717364
3810,47561.66395799489,47561.66395799489,3.3673106610904577,99.9187844886296
3840,47736.45694791019,47736.45694791019,3.004496278223612,99.91934286525725
3870,47831.595523017815,47831.595523017815,2.6783632405451385,99.9200171174756
3900,47843.28594209818,47843.28594209818,2.3854849086077876,99.92107853467142
3930,47769.25697937804,47769.25697937804,2.1227228191770267,99.92176194030984
3960,47609.670756266474,47609.670756266474,1.88720609583011,99.92223652933441
3990,47367.008364966765,47367.008364966765,1.6763118048280128,99.92321054270289
4020,47046.34517811563,47046.34517811563,1.4876463750025022,99.92365738653375
4050,46654.75590950516,46654.75590950516,1.3190280963649823,99.92476612210605
4080,46198.54272372828,46198.54272372828,1.1684706778428604,99.92503935960478
4110,45690.638195921885,45690.638195921885,1.0341678322817773,99.92606101688006
4140,45138.00985404923,45138.00985404923,0.9144788518015182,99.92662343983089
4170,44548.685011034046,44548.685011034046,0.8079151341187335,99.92721799937121
4200,43928.69454911455,43928.69454911455,0.7131276190744986,99.9279926684433
4230,43284.8281594544,43284.8281594544,0.628895093836274,99.92881473462525
4260,42622.246668040476,42622.246668040476,0.55411332489964,99.92914978312469
4290,41945.84039911997,41945.84039911997,0.4877849750119739,99.92980889001585
4320,41260.016094012615,41260.016094012615,0.4290102634253026,99.9308107354702
4350,40568.295170000965,40568.295170000965,0.3769783284201369,99.931146890074
4380,39873.54742469341,39873.54742469341,0.3309592517905061,99.93231750003729
4410,39178.96670705819,39178.96670705819,0.2902967059116027,99.93262523407061
4440,38486.845379924474,38486.845379924474,0.254401185096051,99.93339898392492
4470,37799.55847328515,37799.55847328515,0.22274378415618626,99.934461465673
4500,37118.34765451656,37118.34765451656,0.1948504884030114,99.9351629271292
4530,36444.290463307145,36444.290463307145,0.1702969407056805,99.93611134730985
4560,35779.412383481234,35779.412383481234,0.1487036526874595,99.9367363306616
4590,35123.80120342105,35123.80120342105,0.12973162862750423,99.93758659652059
4620,34477.02079367871,34477.02079367871,0.11307837215538609,99.93831256810746
4650,33840.157867324495,33840.157867324495,0.09847424735307356,99.93885366382469
4680,33210.41982083311,33210.41982083311,0.08567916740388443,99.93950658157144
4710,32588.223478770375,32588.223478770375,0.07447958543875177,99.93978312360841
4740,31971.136927211803,31971.136927211803,0.06468576371735525,99.94060772836184
4770,31358.512546626334,31358.512546626334,0.05612929873703899,99.94129331491051
4800,30748.978584974313,30748.978584974313,0.048660881279139756,99.94197932768829
4830,30142.23493663718,30142.23493663718,0.04214827177468065,99.94255029306832
4860,29537.95887406162,29537.95887406162,0.03647447269489945,99.9434209743227
4890,28936.470799596005,28936.470799596005,0.031536080943128805,99.9439702653441
4920,28338.152176240797,28338.152176240797,0.027241804440590586,99.94508850309802
4950,27743.671599310277,27743.671599310277,0.02351112825785737,99.94569574757126
4980,27153.39852482928,27153.39852482928,0.020273116744944916,99.94584266965853
5010,26568.361474545432,26568.361474545432,0.017465339155828454,99.94703470586649
5040,25988.953421257836,25988.953421257836,0.015032907247634725,99.9478562719738
5070,25415.94185755703,25415.94185755703,0.012927614261468972,99.94853217942938
5100,24849.648522937645,24849.648522937645,0.011107165561717905,99.94895479772437
5130,24290.818002500488,24290.818002500488,0.00953449202506638,99.9499173388861
5160,23739.84065788575,23739.84065788575,0.008177138030934328,99.95070571365783
5190,23197.010814514382,23197.010814514382,0.007006716613425177,99.95108019998231
5220,22662.762223424976,22662.762223424976,0.005998424993162331,99.9519569267934
5250,22137.479473914882,22137.479473914882,0.005130614317710225,99.95262651300433
5280,21621.483796126984,21621.483796126984,0.004384408003868705,99.95337578240047
5310,21114.97954624338,21114.97954624338,0.0037433635962835295,99.95406309564855
5340,20618.123607320682,20618.123607320682,0.003193173536858575,99.95432495407465
5370,20131.05381808786,20131.05381808786,0.0027214006807287213,99.95489117728295
5400,19653.913395026615,19653.913395026615,0.0023172447993669797,99.95615422457115
5430,19186.688291178456,19186.688291178456,0.0019713366820482705,99.9568430901496
5460,18729.66162614491,18729.66162614491,0.0016755567856062098,99.95752844383577
5490,18282.767614018252,18282.767614018252,0.0014228756913726938,99.95815622926631
5520,17846.071966088606,17846.071966088606,0.0012072139094802176,99.95861075787555
